"","instructor","state","institution","course","religion","christianden","nonrel","rel","raceoriginal","evound","micro","macro","human","evound1","evound2","evound3","evound4","evound5","evound6","evound7","evound8","evound9","evound10","evound11","evound12","evound13","evound14","micro1","micro2","micro3","micro4","micro5","micro6","micro7","micro8","macro1","macro2","macro3","macro4","macro5","macro6","macro7","macro8","human1","human2","human3","human4","human5","human6","human7","human8","rel1","rel2","rel3","rel4","africanamerican","racenative","raceasian","raceblack","racelatinx","raceislander","racewhite","raceother","racedecline","race","gender","religiosity"
"7039",1,4,17,55,2,5,NA,2.5,7,0.857142857142857,5,4.875,4.875,1,1,0,1,1,1,1,1,1,1,1,1,0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,2,3,2,3,NA,NA,NA,NA,NA,NA,1,NA,NA,4,1,"moderate"
"7040",7,2,1,14,6,NA,0,2.5,4,0.5,4.25,3.625,3.625,0,0,1,0,1,1,1,0,0,0,1,1,0,1,4,4,5,5,4,4,4,4,4,4,4,3,4,4,4,2,4,3,4,3,4,3,4,4,1,3,3,3,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,"moderate"
"7041",20,1,14,34,2,1,NA,2,6,0.642857142857143,5,4,3.5,1,0,0,1,1,1,0,1,0,1,1,1,1,0,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5,5,1,1,5,1,1,5,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,3,1,"low"
"7042",11,3,16,56,7,NA,NA,3,7,0.857142857142857,5,4.5,4.875,1,0,1,1,1,1,1,1,1,1,1,1,0,1,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,3,4,5,5,5,5,5,5,5,1,3,3,5,NA,NA,NA,NA,NA,NA,1,NA,NA,4,1,"moderate"
"7043",8,12,13,68,2,4,NA,4.5,7,0.714285714285714,2.25,3.125,4,1,0,1,1,0,0,1,1,1,1,1,0,1,1,4,4,2,1,1,3,1,2,3,3,5,3,4,4,2,1,5,3,4,4,4,4,4,4,4,5,5,4,NA,NA,NA,NA,NA,NA,1,NA,NA,4,1,"high"
"7044",36,1,14,80,2,4,NA,3.25,7,0.571428571428571,2.5,3.375,3.375,1,0,1,0,0,0,1,1,1,0,1,1,1,0,5,3,2,2,3,2,1,2,2,2,5,5,4,3,3,3,1,5,3,4,4,3,3,4,3,3,4,3,NA,NA,NA,NA,NA,NA,1,NA,NA,4,1,"moderate"
"7045",9,13,3,54,2,6,NA,5,7,1,3.875,2.125,1.875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,3,3,3,2,1,4,2,1,1,1,3,3,1,3,2,1,1,5,5,5,5,NA,NA,NA,NA,NA,NA,1,NA,NA,4,2,"high"
"7046",7,2,1,14,2,1,NA,2.5,7,0.571428571428571,3.25,2.875,3,1,0,1,0,1,1,1,1,0,1,0,0,1,0,4,4,2,3,3,4,4,2,4,3,2,2,3,3,2,4,4,3,3,2,2,3,4,3,2,3,2,3,NA,NA,NA,NA,NA,NA,1,NA,NA,4,1,"moderate"
"7047",7,2,1,14,4,NA,NA,3,7,0.642857142857143,4.375,3.625,4,0,0,1,1,1,1,1,1,0,1,1,1,0,0,5,5,4,3,5,4,5,4,4,4,4,4,3,4,4,2,4,4,4,4,4,4,4,4,3,3,3,3,NA,NA,NA,NA,NA,NA,1,NA,NA,4,2,"moderate"
"7048",6,12,12,29,6,NA,0,1.5,6,0.928571428571429,5,4.5,4.625,1,1,1,1,1,0,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,5,5,4,5,5,4,5,1,3,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,3,2,"low"
"7049",19,12,13,32,2,4,NA,4.5,7,0.857142857142857,4.75,3.625,3.375,0,0,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,4,5,5,5,5,4,4,4,3,4,4,4,2,4,4,4,2,4,3,2,4,4,5,4,5,NA,NA,NA,NA,NA,NA,1,NA,NA,4,1,"high"
"7050",3,8,11,48,6,NA,1,1.75,6,0.214285714285714,3.75,4,3.875,1,0,0,0,0,0,1,0,0,1,0,0,0,0,5,5,1,1,5,4,5,4,5,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,1,1,1,4,NA,1,NA,NA,NA,NA,1,NA,NA,3,2,"low"
